"speciescode","genus","species","community","seed_mass"
"cass.lept","Chamaecrista","nictitans","Summer Annual",NA
"crot.pumi","Crotalaria","pumila","Summer Annual",NA
"dale.brac","Dalea","brachystachya","Summer and Winter Annual",NA
"dale.nana","Dalea","nana","Perennial Forb",NA
"dale.pogo","Dalea","pogonathera","Perennial Forb",NA
"dale.sp","Dalea","sp.","Unknown",NA
"hoff.dens","Hoffmanseggia","glauca","Perennial Forb",NA
"lupi.brev","Lupinus","brevicaulis","Winter Annual",NA
"lupi.conc","Lupinus","concinnus","Winter Annual",7.5
"lupi.sp","Lupinus","sp.","Winter Annual",NA
"lupi.sp2","Lupinus","sp.","Winter Annual",NA
"mimo.acul","Mimosa","aculeaticarpa","Shrub",NA
"pros.glan","Prosopis","glandulosa","Shrub",NA
"pros.sp","Prosopis","sp.","Shrub",NA
"pros.velu","Prosopis","velutina","Shrub",NA
"cass.bauh","Senna","bauhinoides","Subshrub",NA
"abut.parv","Abutilon","parvulum","Perennial Forb",NA
"sida.phys","Rhynchosida","physocalyx","Subshrub",NA
"sida.proc","Sida","abutifolia","Perennial Forb",NA
"sida.neom","Sida","neomexicana","Perennial Forb",NA
"sida.sp","Sida","sp.","Summer Annual",NA
"sida.spin","Sida","spinosa","Summer Annual",NA
"spha.angu","Sphaeralcea","angustifolia","Subshrub",NA
"spha.coul","Sphaeralcea","coulteri","Summer and Winter Annual",NA
"spha.hast","Sphaeralcea","hastulata","Subshrub",NA
"spha.inca","Sphaeralcea","incana","Subshrub",NA
"spha.laxa","Sphaeralcea","laxa","Subshrub",NA
"spha.sp","Sphaeralcea","sp.","Unknown",NA
"prob.parv","Proboscidea","parviflora","Summer Annual",NA
"moll.cerv","Mollugo","cerviana","Summer Annual",NA
"moll.sp","Mollugo","sp.","Summer Annual",NA
"moll.vert","Mollugo","verticillata","Summer Annual",NA
"tali.angu","Phemeranthus","angustissimum","Perennial Forb",NA
"tali.aura","Phemeranthus","aurantiacus","Perennial Forb",NA
"tali.sp","Phemeranthus","sp.","Perennial Forb",NA
"alli.inca","Allionia","incarnata","Perennial Forb",NA
"alli.sp","Allionia","sp.","Perennial Forb",NA
"ammo.chen","Ammocodon","chenopodioides","Perennial Forb",NA
"boer.cocc","Boerhavia","coccinea","Perennial Forb",NA
"boer.coul","Boerhavia","coulteri","Summer Annual",NA
"boer.inte","Boerhavia","intermedia","Summer Annual",NA
"boer.sp","Boerhavia","sp.","Summer Annual",NA
"boer.torr","Boerhavia","spicata","Summer Annual",NA
"oeno.prim","Oenothera","primiveris","Winter Annual",2.32
"oeno.sp","Oenothera","sp.","Winter Annual",NA
"esch.mexi","Eschscholzia","californica","Winter Annual",1.5
"lina.texa","Nuttallanthus","texanus","Winter Annual",0.02
"plan.purs","Plantago","patagonica","Winter Annual",NA
"aris.adsc","Aristida","adscensionis","Summer Annual",NA
"aris.long","Aristida","purpurea","Perennial Grass",NA
"aris.sp","Aristida","sp.","Unknown",NA
"aris.hamu","Aristida","ternipes","Perennial Grass",NA
"both.barb","Bothriochloa","barbinodis","Perennial Grass",NA
"bout.aris","Bouteloua","aristidoides","Summer Annual",NA
"bout.sp","Bouteloua","sp.","Summer Annual",NA
"pani.ariz","Brachiaria","arizonica","Summer Annual",NA
"brom.rube","Bromus","rubens","Winter Annual",NA
"bout.dact","Buchloe","dactyloides","Perennial Grass",NA
"chlo.virg","Chloris","virgata","Summer Annual",NA
"bout.barb","Chondrosum","barbatum","Summer Annual",NA
"bout.erio","Chondrosum","eriopodum","Perennial Grass",NA
"tric.cali","Digitaria","californica","Perennial Grass",NA
"sita.hyst","Elymus","elymoides","Perennial Grass",NA
"enne.desv","Enneapogon","desvauxii","Perennial Grass",NA
"erag.cili","Eragrostis","cilianensis","Summer Annual",NA
"erag.inte","Eragrostis","intermedia","Perennial Grass",NA
"erag.lehm","Eragrostis","lehmanniana","Perennial Grass",NA
"erag.arid","Eragrostis","pectinacea","Summer Annual",NA
"erag.sp","Eragrostis","sp.","Perennial Grass",NA
"erio.lemm","Eriochloa","acuminata","Summer and Winter Annual",NA
"trid.pulc","Erioneuron","pulchellum","Perennial Grass",NA
"hila.muti","Hilaria","mutica","Perennial Grass",NA
"lycu.phle","Lycurus","phleoides","Perennial Grass",NA
"muhl.port","Muhlenbergia","porteri","Perennial Grass",NA
"muhl.sp","Muhlenbergia","sp.","Unknown",NA
