"","V1","V2","V3"
"ambr.arte",0.316556531132383,-0.166160319971102,0.181593474939355
"amsi.tess",0.312544311958751,-0.0716813927310221,0.129088776669059
"astr.allo",-0.277012243335683,-0.0418560173081252,-0.0222199292156331
"astr.nutt",0.19868293684191,-0.0546183157253825,-0.00585049654056378
"bail.mult",-0.298050559996705,0.19100151515681,0.0349448787478436
"caly.wrig",-0.19823056063128,-0.215630101910673,0.00560967353879909
"chae.stev",0.184754486663593,0.0408664295387469,-0.219059354863156
"chen.frem",0.107171675601374,-0.194510535646394,0.105185285521663
"chor.tene",0.00928935792657017,-0.261112800432245,0.0716167828783757
"crot.pumi",0.287459894715444,-0.152268695989636,0.235216217348333
"cryp.cras",-0.287755457424104,0.0458715758331991,-0.00463287713712404
"cryp.micr",-0.273666190878528,-0.0168385749001415,-0.0113922959883379
"dale.brac",0.118800011777382,-0.0432997649223047,-0.24520496377984
"desc.obtu",0.302524029570021,-0.159460774620555,0.207454237875997
"desc.pinn",-0.148678292336861,0.0195518307113698,-0.00585919369252821
"dith.wisl",-0.224912866174051,-0.204909533918374,0.0175204801119834
"erag.cili",0.186676178907349,-0.00453163610273502,0.149597449108854
"eria.diff",-0.365429460355988,0.0692146556697214,-0.0125531768855982
"erig.dive",-0.322972959283459,0.094138419049114,-0.0532143559911078
"erio.aber",0.0187785424831023,0.126527186182049,-0.0203424819813268
"erod.cicu",0.285357217606518,0.0389515099184637,-0.322649181525548
"erod.texa",-0.172893808829454,-0.0165627311803524,-0.0499550850430697
"esch.mexi",-0.332093332137871,0.0845410736181325,-0.0196025466086273
"gili.sinu",-0.289104643155275,-0.0439367148897645,-0.0352530327496005
"hapl.grac",-0.35054229741103,0.0189445754355172,-0.0483591468911073
"laen.coul",0.287459894715444,-0.152268695989636,0.235216217348333
"lapp.redo",0.270764452838305,-0.176826337824843,0.155701279191251
"lepi.lasi",0.114677014336365,-0.121410330142968,0.075437375470042
"lesq.gord",0.249969592109674,0.126472771569785,0.127550670213377
"lina.bige",0.272422400958386,-0.104803635670131,0.0839514848495384
"lupi.brev",0.252666000773581,-0.171854898348037,0.220192423943629
"lupi.conc",-0.127924127386368,-0.182013620139303,-0.0213592476317849
"mala.fend",-0.271551552635534,0.0638168421113333,0.0262814870573292
"micr.lene",-0.188469160269883,-0.090913262416691,-0.00856047835018369
"oeno.prim",0.0856238828232578,-0.189076259882863,0.0450980046795331
"pani.hirt",0.129736729451722,0.447720566692689,0.230351862965715
"pect.recu",0.308469611304087,-0.169071457983235,0.20829200545429
"phac.ariz",0.0176587010680363,-0.120405159406034,0.09732371402396
"plag.ariz",-0.128349237440314,-0.295439922892692,0.0849412122122006
"plan.purs",-0.0148460814371361,-0.10188071109751,-0.104094387835085
"sals.kali",0.252666000773581,-0.171854898348037,0.220192423943629
"schi.barb",0.0329936308190934,-0.204046294855682,-0.0423847883107926
"sida.spin",0.31465013376209,-0.181671864257213,0.213708659232865
"sisy.irio",0.320042024975225,0.0876259472508514,-0.3995720852806
"sper.echi",-0.196626820226704,-0.090095169477283,0.000631579429815942
"step.exig",-0.325367790736331,-0.0437832094312119,-0.0312411898123047
"vulp.octo",-0.18739899975131,-0.176466771628382,-0.031227234099827
