"","V1","V2","V3"
"acac.cons",0.0888371317540557,-0.148471361299501,0.070211407444515
"alli.inca",0.0729029342114412,-0.0467296551954109,-0.100176321780523
"amar.palm",0.131614972391851,-0.207890275598469,0.103152892665914
"ambr.arte",0.217069322747619,-0.186583105819556,0.106947469613339
"ammo.chen",0.119316130757246,0.0371278233967023,-0.0980145032394759
"aris.adsc",0.119824424860566,-0.133474810795945,0.053058668772254
"aris.hamu",0.228173106058228,0.136920106666056,-0.0324324500843696
"aris.long",0.149538316411188,0.200262950039929,-0.0240947203372876
"astr.nutt",0.12379054553135,-0.288968660890985,0.0630954190186501
"atri.acan",0.106137861733917,-0.125052488829827,0.0554515180231355
"atri.cane",0.0561553189865386,-0.274698042537528,0.119402162244146
"bahi.absi",0.114286228794357,0.0521263691698316,0.116740874302638
"bahi.bite",0.169291345672714,0.272030085980965,-0.0625617891761732
"bail.mult",-0.509248669529845,0.0994920362434659,0.19962817832978
"boer.cocc",0.136178905710141,-0.0938382022292299,-0.00363966952669569
"boer.coul",0.252614793690413,0.11439427739769,-0.0255989916198578
"boer.inte",0.12438041936889,-0.115912550524307,0.0163227763666098
"boer.torr",-0.286900861979934,-0.102036515907018,-0.152084464142941
"bout.aris",0.0283058246567879,-0.0722185313599702,-0.000257485459795729
"bout.barb",-0.0166524398930364,-0.152373071145987,-0.140904546360925
"bout.erio",0.178935949595144,0.272398231045284,0.059776252159568
"bray.dens",0.051585771924024,-0.24625239642515,0.0230029229805014
"cass.bauh",0.149807464489993,0.0647150325077213,-0.0214435235794797
"cass.lept",0.0874344028491788,-0.297215286442612,0.00384542561451085
"chen.frem",-0.339314040710272,-0.0312864839945149,-0.278370601345571
"chlo.virg",0.155880855946737,-0.168992498946583,0.145570835098718
"crot.cory",0.198912160190073,-0.129720919216533,0.0796486503995747
"crot.pumi",0.1138596765057,-0.163036671552969,-0.0119253962349768
"dale.brac",0.104469205724372,-0.138928260076711,-0.0163221507026042
"dale.nana",0.183107328385625,-0.141876795293734,0.026799331960694
"dale.pogo",0.220112733155015,0.00404042315818977,0.0664998791115337
"dich.pulc",0.124768434871218,0.066799292481835,0.0500462430767403
"dith.wisl",0.207914169190978,-0.0770142479074238,0.00596293528514031
"enne.desv",0.0774010856166784,-0.0963963187276585,0.140813000961089
"ephe.trif",0.0872518682958112,-0.124777427394259,0.1261134110375
"erag.arid",0.0954688993373098,-0.282275995845783,-0.0266216919947878
"erag.cili",0.1435154650494,-0.234392198101321,0.0931134786038009
"erag.inte",0.0271637849414314,-0.273946470983921,-0.00239693753348669
"erag.lehm",0.105664713459308,-0.0519440133301627,-0.0260807387366316
"erig.dive",0.178935949595144,0.272398231045284,0.059776252159568
"erio.aber",-0.244428031279073,0.0188158372599752,-0.212513549890346
"erio.lemm",0.131361240449912,-0.247768923851682,0.0959483369917148
"erod.cicu",0.125460456106589,-0.277089830222355,0.0593099312600939
"euph.exst",0.0934620870407781,-0.215039610280911,0.0147713258160229
"euph.fend",-0.523207825774016,0.040239055429984,0.144546428537124
"euph.micr",0.0547052486838348,-0.101728975598741,-0.0647400174438681
"euph.serp",0.155165972158669,-0.0750643021112312,0.00736369903950438
"euph.serr",0.0563845263291777,-0.0599255718555754,-0.0653765593882407
"flou.cern",0.0561553189865386,-0.274698042537528,0.119402162244146
"guti.saro",0.080971971134435,0.156852798288149,0.0455351254728936
"hapl.grac",0.127285345176692,0.353690439277281,-0.173326970639313
"hapl.spin",0.166620647295936,0.231206160809578,0.0336883899514934
"hapl.tenu",0.116945232342014,0.173499898481071,-0.117613968328621
"hila.muti",0.184525414844936,-0.116788769602928,0.167341234235688
"hoff.dens",0.111360334882443,-0.0486288272696862,0.0425102801970377
"ipom.cost",0.126633812390158,-0.232782447361594,0.0430540879071491
"kall.cali",0.0665284813867215,-0.278041438053541,0.112835900583787
"kall.gran",-0.0764299980063762,-0.146935756386685,-0.179824882354252
"kall.hirs",0.0271637849414314,-0.273946470983921,-0.00239693753348669
"mach.tanr",0.158438078251164,0.287003308949554,-0.100294012992311
"mimo.acul",0.187786988100676,-0.0930117459072371,0.0609073593787626
"moll.cerv",-0.394678534734893,0.0247389628043858,0.122573306052152
"moll.vert",-0.395357684012007,0.060600833716207,0.195353957041807
"muhl.port",0.0516217905158368,0.136232792619273,-0.0204326284348291
"pani.ariz",-0.0905883823919651,-0.166076730752742,-0.0655158763050596
"pani.hirt",0.0845228233994925,-0.231207843910509,0.0201147300876208
"pani.mili",0.113432533083263,-0.185901616846077,-0.00310561614793701
"pect.papp",-0.292930513908142,-0.0966091666958018,-0.177945960781593
"pere.nana",0.152919385177666,-0.00204474894821373,0.0446384492861629
"port.parv",0.19621771894613,-0.0529043447716158,0.0127999160552752
"port.suff",0.105870402324486,0.0325983258813818,0.121369147281148
"pros.glan",0.171063961538971,-0.104244584832514,0.00629654764513718
"sals.kali",0.0561553189865386,-0.274698042537528,0.119402162244146
"sanv.aber",0.088116299859446,-0.277076383297265,0.0632819187203375
"seta.macr",0.12379054553135,-0.288968660890985,0.0630954190186501
"sida.phys",0.159968730754347,0.0294995212491228,-0.0109339116152241
"sida.proc",0.105781816013453,0.0145909515853304,0.0542174348810933
"sida.spin",0.181485346136194,0.100717829110929,-0.0171033530398795
"sola.elea",0.125859063418816,-0.0190901531385208,0.0707269732580628
"spha.laxa",0.207914169190978,-0.0770142479074238,0.00596293528514031
"spor.cont",0.192004253483377,0.125206844414075,-0.00703155038632465
"tali.aura",-0.243131910033905,0.0834501919355518,0.0850592900389071
"tetr.coul",0.14613376128917,0.163780323613798,-0.00890144992269647
"tide.lanu",-0.134541413446638,-0.0989378626670607,-0.017760401232612
"tria.port",-0.048343427247492,-0.227294421659648,-0.112618907256034
"tric.cali",0.207914169190978,-0.0770142479074238,0.00596293528514031
"trid.pulc",0.15806078448292,0.0413333369771122,-0.0288621302858929
"xant.spin",0.0774010856166784,-0.0963963187276585,0.140813000961089
"yucc.elat",0.1637721847375,0.245360960775534,0.0269308673117046
"zinn.gran",0.196637918905349,0.168216729081721,0.00833783087820687
"zinn.pumi",0.10756473238759,0.305038854214979,-0.0881532870751043
